id,typeName,articleId
25212,Handbags,46
58722,Tshirts,90
20010,Tshirts,90
17363,Accessory Gift Set,185
8585,Shirts,85
2188,Swimwear,75
7670,Socks,61
34403,Tshirts,90
49133,Lipstick,234
55110,Compact,300
28420,Sunglasses,51
6962,Shirts,85
31251,Tshirts,90
49099,Foundation and Primer,239
57087,Skirts,74
50742,Casual Shoes,93
58372,Tshirts,90
25642,Watches,66
22187,Casual Shoes,93
38973,Shirts,85
39661,Sports Shoes,95
12531,Sweatshirts,87
24950,Tshirts,90
43494,Tshirts,90
41153,Skirts,74
17733,Sandals,92
16821,Tshirts,90
27385,Night suits,456
28070,Trunk,307
55540,Eyeshadow,243
7220,Formal Shoes,94
49563,Handbags,46
34053,Capris,68
26347,Watches,66
46946,Perfume and Body Mist,162
58958,Deodorant,97
47654,Tops,89
11034,Tops,89
45669,Perfume and Body Mist,162
38359,Wallets,65
9117,Sports Shoes,95
30769,Kurtas,83
19404,Tshirts,90
54582,Kurtas,83
33846,Casual Shoes,93
54078,Sports Shoes,95
29548,Tshirts,90
5837,Tshirts,90
56045,Lipstick,234
4725,Tshirts,90
30293,Tshirts,90
50892,Sarees,563
37556,Gloves,52
6718,Tshirts,90
25992,Perfume and Body Mist,162
45393,Flats,280
23145,Sweatshirts,87
21178,Flip Flops,127
24680,Belts,49
11464,Tshirts,90
47204,Formal Shoes,94
9547,Tshirts,90
13459,Shirts,85
45239,Watches,66
27805,Belts,49
26717,Tshirts,90
53617,Free Gifts,254
30339,Tshirts,90
52905,Sarees,563
32304,Watches,66
19054,Kurtas,83
4375,Tshirts,90
6348,Flip Flops,127
29118,Socks,61
56415,Sandals,92
17949,Caps,54
21528,Handbags,46
15974,Shirts,85
14666,Shirts,85
42006,Wallets,65
11937,Sandals,92
9814,Formal Shoes,94
8706,Sunglasses,51
12618,Tshirts,90
41780,Tops,89
46045,Earrings,187
33145,Shorts,72
18215,Socks,61
31178,Tops,89
52456,Nightdress,201
35992,Tshirts,90
48958,Ring,229
57654,Nail Polish,246
28359,Sunglasses,51
50191,Camisoles,141
7109,Backpacks,43
36347,Ties,63
5134,Tshirts,90
56946,Heels,279
44582,Jeans,70
23846,Sports Shoes,95
20769,Heels,279
22754,Kurtas,83
44428,Formal Shoes,94
39118,Leggings,71
8356,Tshirts,90
10275,Formal Shoes,94
27106,Kurtas,83
3849,Tshirts,90
19957,Sweaters,88
18645,Tshirts,90
33515,Heels,279
36717,Tshirts,90
7559,Tshirts,90
57204,Capris,68
55239,Foundation and Primer,239
28709,Kurtas,83
37805,Shirts,85
42905,Belts,49
40938,Tops,89
22304,Heels,279
43617,Tops,89
15077,Kurtas,83
57711,Lip Liner,235
5071,Watches,66
36202,Shorts,72
43302,Dresses,79
15562,Jeans,70
22611,Tshirts,90
9951,Tshirts,90
27413,Lounge Pants,175
11872,Formal Shoes,94
15098,Kurtas,83
46100,Casual Shoes,93
10760,Flip Flops,127
8643,Sunglasses,51
18350,Socks,61
52513,Bath Robe,226
5421,Tshirts,90
50484,Briefs,137
37940,Tunics,91
22241,Casual Shoes,93
42840,Handbags,46
25584,Sports Shoes,95
15132,Trousers,78
44097,Perfume and Body Mist,162
10330,Belts,49
21894,Kurtas,83
20786,Sweatshirts,87
19812,Sweatshirts,87
1931,Tshirts,90
52143,Tshirts,90
34395,Tshirts,90
33450,Clutches,45
18700,Briefs,137
5972,Shirts,85
56100,Lip Gloss,236
37413,Handbags,46
14373,Heels,279
42513,Kurtis,84
46803,Sports Shoes,95
26202,Perfume and Body Mist,162
9052,Sports Shoes,95
14689,Trousers,78
11171,Sweaters,88
32611,Belts,49
19541,Gloves,52
33903,Watches,66
4230,Tshirts,90
30786,Kurtas,83
56550,Lip Liner,235
31894,Stoles,62
24395,Kurtas,83
15831,Kurtas,83
44994,Watches,66
23450,Jeans,70
42143,Casual Shoes,93
14723,Shirts,85
9402,Sports Shoes,95
27940,Jeans,70
47341,Handbags,46
11521,Tshirts,90
21197,Duffel Bag,120
26652,Casual Shoes,93
53752,Shorts,72
19111,Tshirts,90
52840,Earrings,187
45413,Flats,280
13273,Heels,279
59430,Handbags,46
24100,Sandals,92
51000,Bra,153
2872,Heels,279
3760,Tshirts,90
6562,Tshirts,90
48221,Sunglasses,51
35711,Sports Shoes,95
34803,Belts,49
29732,Handbags,46
54202,Shirts,85
41903,Perfume and Body Mist,162
40611,Kurtas,83
16071,Trousers,78
9697,Formal Shoes,94
13789,Sweaters,88
24550,Tops,89
59060,Kurtas,83
12931,Tshirts,90
45043,Watches,66
38573,Track Pants,76
37686,Backpacks,43
3330,Tshirts,90
30143,Tshirts,90
56395,Perfume and Body Mist,162
36994,Handbags,46
51450,Dresses,79
49963,Tshirts,90
54652,Watches,66
55940,Nail Polish,246
6132,Tshirts,90
35341,Heels,279
48671,Earrings,187
16421,Tshirts,90
20840,Sandals,92
47584,Flats,280
21752,Handbags,46
12462,Waistcoat,133
44202,Flip Flops,127
39732,Tops,89
25711,Caps,54
50611,Briefs,137
31302,Shirts,85
7689,Tshirts,90
2171,Tshirts,90
34100,Tshirts,90
18595,Wallets,65
7373,Sandals,92
28123,Briefs,137
16972,Sandals,92
17660,Casual Shoes,93
41000,Shorts,72
12198,Tshirts,90
8086,Sandals,92
22484,Tops,89
45940,Watches,66
58671,Kurtas,83
43197,Watches,66
59963,Dresses,79
39362,Watches,66
12032,Shirts,85
36097,Wallets,65
50241,Handbags,46
30840,Kurtas,83
57584,Lipstick,234
28573,Tshirts,90
55043,Lipstick,234
6831,Casual Shoes,93
52786,Wallets,65
49060,Casual Shoes,93
34550,Handbags,46
53894,Handbags,46
33295,Shirts,85
7723,Flip Flops,127
46395,Shirts,85
26994,Jeans,70
41450,Casual Shoes,93
17230,Sunglasses,51
39698,Shirts,85
20143,Shirts,85
33780,Socks,61
7236,Formal Shoes,94
49575,Belts,49
34045,Shirts,85
28066,Trunk,307
55556,Kajal and Eyeliner,269
20456,Wallets,65
47992,Watches,66
16837,Sunglasses,51
17725,Shirts,85
46680,Perfume and Body Mist,162
43178,Watches,66
15718,Sports Shoes,95
39677,Casual Shoes,93
8439,Tops,89
24946,Tops,89
43482,Shirts,85
25654,Watches,66
22191,Casual Shoes,93
38965,Backpacks,43
27669,Handbags,46
57091,Skirts,74
50754,Casual Shoes,93
51846,Briefs,137
2034,Tshirts,90
31247,Tshirts,90
4949,Shorts,72
28436,Watches,66
6974,Shirts,85
7666,Tshirts,90
36428,Sports Shoes,95
34415,Tshirts,90
49125,Nail Polish,246
17375,Accessory Gift Set,185
8593,Tshirts,90
15348,Tshirts,90
43528,Tops,89
20006,Tshirts,90
25204,Handbags,46
58734,Tshirts,90
12177,Shirts,85
44717,Flip Flops,127
39227,Dresses,79
59826,Shirts,85
30905,Salwar,255
52339,Clutches,45
50304,Ties,63
32938,Casual Shoes,93
35654,Formal Shoes,94
28965,Kurtas,83
32191,Sports Shoes,95
6427,Casual Shoes,93
29677,Trousers,78
34946,Dupatta,134
41846,Backpacks,43
21247,Backpacks,43
47091,Flip Flops,127
14109,Sweatshirts,87
16134,Tops,89
40754,Flip Flops,127
22892,Sandals,92
13336,Tops,89
23780,Sunglasses,51
24045,Tshirts,90
59575,Cufflinks,50
51145,Socks,61
2937,Tshirts,90
18829,Belts,49
56680,Heels,279
1618,Sports Shoes,95
57992,Shirts,85
3625,Flip Flops,127
29227,Sports Shoes,95
18983,Tshirts,90
54717,Kurtas,83
49826,Flip Flops,127
48734,Bangle,149
35204,Backpacks,43
57838,Handbags,46
55805,Night suits,456
37239,Flats,280
20905,Heels,279
14559,Casual Shoes,93
40304,Sandals,92
9382,Casual Shoes,93
22938,Watches,66
21617,Bra,153
12874,Casual Shoes,93
24415,Flip Flops,127
10849,Tshirts,90
38436,Handbags,46
9678,Tshirts,90
3275,Tshirts,90
51515,Watches,66
53528,Briefs,137
10799,Shirts,85
15061,Formal Shoes,94
42913,Belts,49
22312,Jackets,82
57212,Jeggings,249
37813,Shirts,85
36701,Perfume and Body Mist,162
5572,Sports Shoes,95
18653,Flip Flops,127
33503,Dresses,79
1862,Tshirts,90
19941,Sports Shoes,95
27110,Kurtas,83
8340,Tshirts,90
46403,Tshirts,90
10263,Formal Shoes,94
25087,Wallets,65
22742,Kurtas,83
44594,Belts,49
23850,Flip Flops,127
36351,Ties,63
5122,Tshirts,90
56950,Heels,279
57642,Nail Polish,246
50187,Handbags,46
52440,Nightdress,201
35984,Tops,89
55385,Nail Polish,246
33153,Tops,89
18203,Sweatshirts,87
8710,Sunglasses,51
41796,Tunics,91
10633,Formal Shoes,94
11921,Formal Shoes,94
9802,Tops,89
11188,Watches,66
42010,Sandals,92
15962,Jackets,82
56403,Flats,280
4363,Tshirts,90
52913,Sarees,563
4699,Watches,66
32312,Watches,66
19042,Heels,279
53601,Watches,66
11472,Tops,89
47212,Formal Shoes,94
9551,Tshirts,90
27813,Belts,49
23153,Tshirts,90
24696,Sandals,92
25984,Deodorant,97
45385,Flats,280
4733,Casual Shoes,93
30285,Sunglasses,51
50884,Sarees,563
37540,Gloves,52
5821,Tshirts,90
56053,Lip Gloss,236
33850,Casual Shoes,93
1531,Tshirts,90
35087,Ties,63
19412,Backpacks,43
32742,Casual Shoes,93
47642,Casual Shoes,93
11022,Tshirts,90
9101,Sandals,92
40187,Kurtis,84
26351,Watches,66
46950,Perfume and Body Mist,162
21494,Handbags,46
19107,Tshirts,90
32257,Tops,89
3019,Tshirts,90
35592,Sandals,92
53744,Capris,68
51779,Briefs,137
54081,Kurtis,84
24679,Belts,49
59349,Sandals,92
21181,Flip Flops,127
39948,Casual Shoes,93
26644,Casual Shoes,93
27956,Briefs,137
47357,Mobile Pouch,171
11537,Kurtas,83
40168,Sunglasses,51
16708,Tshirts,90
45690,Perfume and Body Mist,162
14735,Shirts,85
24383,Kurtas,83
15827,Innerwear Vests,138
44982,Watches,66
23446,Kurtis,84
56546,Makeup Remover,285
31882,Stoles,62
37055,Belts,49
35068,Belts,49
4226,Tshirts,90
48558,Belts,49
30790,Kurtas,83
53314,Tshirts,90
51329,Travel Accessory,167
33915,Watches,66
3449,Caps,54
32607,Wallets,65
19557,Tshirts,90
9044,Formal Shoes,94
11167,Shirts,85
59719,Bra,153
24229,Kurtas,83
46815,Tops,89
26214,Perfume and Body Mist,162
16358,Shirts,85
40538,Watches,66
14365,Heels,279
37405,Handbags,46
48108,Tops,89
4676,Backpacks,43
35438,Shirts,85
5964,Shirts,85
56116,Lip Gloss,236
7959,Tshirts,90
54982,Lounge Pants,175
2608,Heels,279
33446,Wallets,65
18716,Tops,89
50168,Heels,279
19804,Tshirts,90
1927,Backpacks,43
52155,Dresses,79
25068,Accessory Gift Set,185
20790,Jackets,82
10326,Watches,66
46546,Watches,66
21882,Tunics,91
8205,Tshirts,90
15124,Trousers,78
43744,Bangle,149
41779,Tops,89
44081,Perfume and Body Mist,162
22257,Heels,279
42856,Clutches,45
25592,Kurta Sets,543
50492,Innerwear Vests,138
37956,Casual Shoes,93
57357,Bra,153
5437,Tshirts,90
31181,Tshirts,90
29948,Watches,66
52505,Bath Robe,226
18346,Socks,61
33016,Kurtas,83
46116,Casual Shoes,93
10776,Tshirts,90
8655,Sunglasses,51
9947,Jackets,82
13859,Shirts,85
27405,Capris,68
25438,Wallets,65
58108,Earrings,187
11864,Flip Flops,127
22607,Shorts,72
21928,Kurtas,83
43314,Sweaters,88
15574,Tshirts,90
17549,Shirts,85
34229,Tshirts,90
5067,Watches,66
49719,Ties,63
56815,Tunics,91
54828,Handbags,46
57707,Lip Liner,235
57029,Tops,89
28524,Tshirts,90
6866,Leggings,71
7774,Casual Shoes,93
5749,Sports Shoes,95
34507,Formal Shoes,94
17267,Tshirts,90
41407,Tops,89
8481,Dresses,79
20114,Kurtas,83
22129,Formal Shoes,94
25316,Watches,66
58626,Bangle,149
45917,Watches,66
12065,Kurtas,83
59934,Kurtas,83
10058,Tshirts,90
18468,Perfume and Body Mist,162
2576,Tops,89
33738,Belts,49
31705,Earrings,187
30817,Leggings,71
50216,Belts,49
33692,Formal Shoes,94
7324,Sandals,92
34157,Tops,89
5319,Sports Shoes,95
52381,Nightdress,201
57479,Casual Shoes,93
28174,Sunglasses,51
55444,Lipstick,234
47880,Handbags,46
20544,Belts,49
14918,Tshirts,90
27281,Kurtas,83
16925,Sweaters,88
22579,Sweatshirts,87
17637,Scarves,56
46792,Perfume and Body Mist,162
39765,Trousers,78
44255,Wallets,65
12435,Socks,61
26869,Tshirts,90
43590,Tshirts,90
24854,Tops,89
46268,Tops,89
10408,Tops,89
58276,Handbags,46
25746,Belts,49
22083,Kurtas,83
57183,Tunics,91
33368,Wallets,65
2126,Shirts,85
18038,Handbags,46
18891,Shirts,85
54605,Briefs,137
56638,Tunics,91
48626,Earrings,187
35316,Earrings,187
4158,Sports Shoes,95
55917,Nail Polish,246
19783,Tshirts,90
6165,Casual Shoes,93
40216,Ties,63
16476,Shirts,85
23738,Sunglasses,51
21705,Watches,66
12966,Sports Shoes,95
59037,Flats,280
24507,Kurtas,83
47029,Kurtas,83
11649,Kurtas,83
38524,Casual Shoes,93
45014,Watches,66
13674,Casual Shoes,93
3367,Sports Shoes,95
19279,Watches,66
51407,Shirts,85
4508,Sports Shoes,95
28877,Kurtas,83
6535,Laptop Bag,158
29765,Shirts,85
53590,Watches,66
34854,Casual Shoes,93
56268,Night suits,456
26490,Tshirts,90
21355,Sunglasses,51
43969,Perfume and Body Mist,162
47183,Casual Shoes,93
16026,Shirts,85
40646,Kurtas,83
13224,Sweatshirts,87
22980,Casual Shoes,93
38174,Sunglasses,51
23692,Wallets,65
24157,Kurtas,83
59467,Ring,229
51057,Briefs,137
2825,Formal Shoes,94
57880,Face Scrub and Exfoliator,488
30544,Socks,61
37281,Tshirts,90
19629,Tshirts,90
3737,Caps,54
32579,Tops,89
43986,Perfume and Body Mist,162
24442,Innerwear Vests,138
59172,Formal Shoes,94
12823,Casual Shoes,93
13731,Shirts,85
45151,Watches,66
38461,Wallets,65
42694,Flats,280
37794,Shirts,85
28898,Briefs,137
30051,Watches,66
56287,Bra,153
51542,Watches,66
36886,Belts,49
49871,Watches,66
53085,Necklace and Chains,148
54740,Casual Shoes,93
55852,Nail Polish,246
32596,Tops,89
6020,Tshirts,90
48763,Jewellery Set,233
16533,Shirts,85
20952,Flip Flops,127
21640,Bra,153
26185,Flats,280
38031,Watches,66
13361,Casual Shoes,93
16499,Tshirts,90
59522,Earrings,187
3672,Sports Shoes,95
28932,Tshirts,90
19296,Watches,66
6470,Casual Shoes,93
48333,Necklace and Chains,148
21210,Casual Shoes,93
41811,Bra,153
12989,Sports Shoes,95
8897,Shirts,85
16163,Formal Shoes,94
9785,Track Pants,76
22596,Tshirts,90
25253,Handbags,46
43085,Tshirts,90
39270,Casual Shoes,93
44740,Casual Shoes,93
12120,Kurtas,83
31640,Shirts,85
49488,Casual Shoes,93
36185,Tshirts,90
50353,Kurtas,83
57496,Casual Shoes,93
30952,Tops,89
28461,Capris,68
55151,Nail Polish,246
52694,Watches,66
34442,Tshirts,90
33387,Clutches,45
7631,Shorts,72
46287,Tunics,91
17322,Sunglasses,51
20051,Mufflers,59
58299,Socks,61
24911,Tshirts,90
44310,Shirts,85
39620,Heels,279
17288,Tshirts,90
38932,Leggings,71
25603,Watches,66
58333,Flip Flops,127
6889,Jackets,82
50703,Tops,89
31210,Sports Shoes,95
51811,Nightdress,201
34012,Tops,89
18487,Jeans,70
7261,Casual Shoes,93
55501,Lip Gloss,236
28031,Briefs,137
16860,Sunglasses,51
20401,Belts,49
17772,Belts,49
8194,Shirts,85
19445,Tshirts,90
1566,Caps,54
30728,Salwar,255
9156,Tops,89
38318,Handbags,46
13048,Tshirts,90
45628,Briefs,137
58919,Ties,63
11075,Sweaters,88
47615,Heels,279
26306,Tshirts,90
21139,Tops,89
23104,Accessory Gift Set,185
42417,Messenger Bag,284
6759,Tshirts,90
37517,Gloves,52
4764,Tshirts,90
5876,Handbags,46
56004,Lipstick,234
29509,Watches,66
50979,Bra,153
19015,Tshirts,90
32345,Watches,66
52944,Sarees,563
53656,Handbags,46
45278,Wallets,65
13418,Shirts,85
38748,Backpacks,43
9506,Shirts,85
40580,Tops,89
25879,Backpacks,43
47245,Casual Shoes,93
11425,Tshirts,90
45782,Tshirts,90
14627,Tops,89
21569,Casual Shoes,93
15935,Belts,49
24291,Sweatshirts,87
17908,Sweatshirts,87
23554,Perfume and Body Mist,162
44890,Tshirts,90
31990,Socks,61
56454,Nail Polish,246
51391,Boxers,139
4334,Flip Flops,127
